Ref,Val,Package,PosX,PosY,Rot,Side
"J1","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",84.000000,-54.500000,180.000000,bottom
"J2","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",112.000000,-54.500000,180.000000,bottom
"J3","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",140.000000,-54.500000,180.000000,bottom
"J4","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",168.000000,-54.500000,180.000000,bottom
"J5","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",84.000000,-80.500000,180.000000,bottom
"J6","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",112.000000,-80.500000,180.000000,bottom
"J7","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",140.000000,-80.500000,180.000000,bottom
"J8","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",168.000000,-80.500000,180.000000,bottom
"J9","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",84.000000,-106.500000,180.000000,bottom
"J10","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",112.000000,-106.500000,180.000000,bottom
"J11","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",140.000000,-106.500000,180.000000,bottom
"J12","XIAO-ESP32-C5","XIAO-ESP32-C5-DIP",168.000000,-106.500000,180.000000,bottom
"J14","FAN","PinHeader_1x02_P2.54mm_Vertical",83.000000,-132.460000,180.000000,bottom
"MH1","MountingHole_3.2mm","MountingHole_3.2mm",58.500000,-34.000000,180.000000,bottom
"MH2","MountingHole_3.2mm","MountingHole_3.2mm",184.000000,-34.000000,180.000000,bottom
"MH3","MountingHole_3.2mm","MountingHole_3.2mm",59.000000,-144.500000,180.000000,bottom
"MH4","MountingHole_3.2mm","MountingHole_3.2mm",184.500000,-145.000000,180.000000,bottom
"C1","100nF","C_0805_2012Metric",115.500000,-130.050000,-90.000000,top
"C2","10uF","C_0402_1005Metric",111.000000,-129.520000,-90.000000,top
"J13","USB_C_PWR_IN","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",121.500000,-144.000000,0.000000,top
"SMA01","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",80.970000,-35.000000,0.000000,top
"SMA02","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",107.990000,-35.000000,0.000000,top
"SMA03","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",135.010000,-35.000000,0.000000,top
"SMA04","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",162.030000,-35.000000,0.000000,top
"SMA05","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",60.000000,-53.470000,0.000000,top
"SMA06","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",60.000000,-77.490000,0.000000,top
"SMA07","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",183.000000,-53.470000,0.000000,top
"SMA08","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",183.000000,-77.490000,0.000000,top
"SMA09","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",60.000000,-101.510000,0.000000,top
"SMA10","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",60.000000,-125.530000,0.000000,top
"SMA11","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",183.000000,-101.510000,0.000000,top
"SMA12","SMA_Amphenol_132291_Vertical","SMA_Amphenol_132291_Vertical",183.000000,-125.530000,0.000000,top
"U1","CH224K","CH224K_ESSOP-10",121.750000,-131.000000,0.000000,top
