Designator,Mid X,Mid Y,Rotation,Layer
C1,251.0,-98.5,180.0,top
C10,142.225,-96.0,0.0,top
C11,110.225,-96.0,0.0,top
C12,174.225,-96.0,0.0,top
C13,110.225,-122.5,0.0,top
C14,238.275,-123.0,0.0,top
C15,206.0,-96.0,0.0,top
C16,213.5,-96.0,0.0,top
C17,117.5,-127.5,0.0,top
C18,182.0,-127.0,0.0,top
C2,213.725,-127.0,0.0,top
C3,149.775,-95.5,0.0,top
C4,248.2,-107.5,180.0,top
C5,149.775,-127.0,0.0,top
C6,206.225,-122.5,0.0,top
C7,142.225,-122.5,0.0,top
C8,238.225,-96.0,0.0,top
C9,174.225,-122.5,0.0,top
D1,245.5,-116.0,270.0,top
F1,247.6,-123.0,180.0,top
H10A,227.9,-103.88,270.0,top
H10B,227.9,-119.12,90.0,top
H1A,99.9,-76.88,270.0,top
H1B,99.9,-92.12,90.0,top
H2A,131.9,-76.88,270.0,top
H2B,131.9,-92.12,90.0,top
H3A,163.9,-76.88,270.0,top
H3B,163.9,-92.12,90.0,top
H4A,195.9,-76.88,270.0,top
H4B,195.9,-92.12,90.0,top
H5A,227.9,-76.88,270.0,top
H5B,227.9,-92.12,90.0,top
H6A,99.9,-103.88,270.0,top
H6B,99.9,-119.12,90.0,top
H7A,131.9,-103.88,270.0,top
H7B,131.9,-119.12,90.0,top
H8A,163.9,-103.88,270.0,top
H8B,163.9,-119.12,90.0,top
H9A,195.9,-103.88,270.0,top
H9B,195.9,-119.12,90.0,top
J1,99.4,-41.6,0.0,top
J10,229.9,-154.4,180.0,top
J11,259.5,-119.0,90.0,top
J2,132.9,-41.6,0.0,top
J3,164.9,-41.6,0.0,top
J4,197.4,-41.6,0.0,top
J5,229.9,-41.6,0.0,top
J6,100.4,-154.4,180.0,top
J7,131.4,-154.4,180.0,top
J8,165.4,-154.4,180.0,top
J9,196.6,-154.4,180.0,top
R1,253.175,-120.0,0.0,top
R2,253.175,-118.0,0.0,top
